"oname","nname"
"AROD_FT_DO","oxygen"
"AROD_FT_TEMP","oxygenTemperature"
"NAV_RESOURCE","navState"
"NAV_LONGITUDE","longitude"
"NAV_LATITUDE","latitude"
"NAV_DEPTH","pressureNav"
"FLBBCD_CHL_COUNT","chlorophyllCount"
"FLBBCD_CHL_SCALED","chlorophyll"
"FLBBCD_BB_700_COUNT","backscatterCount"
"FLBBCD_BB_700_SCALED","backscatter"
"FLBBCD_CDOM_COUNT","cdomCount"
"FLBBCD_CDOM_SCALED","cdom"
"GPCTD_CONDUCTIVITY","conductivity"
"GPCTD_DOF","oxygenFrequency"
"GPCTD_PRESSURE","pressure"
"GPCTD_TEMPERATURE","temperature"
"PLD_REALTIMECLOCK","time"
"LEGATO_CONDTEMP","conductivityTemperature"
"LEGATO_CONDUCTIVITY","conductivity"
"LEGATO_PRESSURE","pressure"
"LEGATO_SALINITY","salinity"
"LEGATO_TEMPERATURE","temperature"
